len,vinograd,opt_vinograd,classic
11,12.880,12.542,11.454
21,39.726,38.877,40.893
31,112.054,110.570,117.586
41,260.520,238.904,265.347
51,503.669,459.966,523.911
61,822.777,740.676,850.514
71,1279.714,1140.724,1309.459
81,1881.056,1693.167,1951.358
