Длина строки, Левенштейн-Матрица, Дамерау-Левенштейн матрица, Дамерау-Левенштейн рекурсия, Дамерау-Левенштейн рекурсия с кэшем
142, 310148.688, 348260.688, -, 569312.500
143, 315980.812, 352184.312, -, 575667.375
144, 317887.812, 355969.688, -, 582721.000
145, 323650.188, 361796.500, -, 591273.500
146, 328622.188, 367018.812, -, 599084.312
147, 332539.188, 374620.812, -, 608391.625
148, 337582.688, 380160.500, -, 619729.875
149, 346971.906, 384769.906, -, 628999.688
150, 361922.000, 393793.906, -, 644549.188
151, 356242.000, 422514.812, -, 658377.625
152, 362321.188, 404337.000, -, 661931.875
153, 364619.094, 408931.000, -, 670662.125
154, 368417.906, 413894.906, -, 679155.312
155, 374820.688, 419710.594, -, 688763.875
156, 379043.188, 423952.312, -, 696668.688
157, 383380.000, 429102.000, -, 705360.000
158, 387435.812, 435696.688, -, 714127.500
159, 394561.688, 441901.188, -, 724283.875
160, 399198.000, 448094.406, -, 733725.125
161, 402624.906, 454775.688, -, 743495.188
162, 410075.500, 459880.312, -, 752527.188
163, 415502.000, 466732.406, -, 761428.500
164, 419272.812, 469964.406, -, 770026.625
165, 424095.906, 475199.500, -, 779241.812
166, 427630.094, 485915.188, -, 790906.312
167, 437356.188, 475570.312, -, 783440.000
168, 431865.906, 484659.406, -, 794302.125
169, 438087.094, 494175.094, -, 807467.688
170, 443015.000, 498892.000, -, 817999.188
171, 457314.500, 502559.000, -, 820399.312
172, 453270.812, 508606.594, -, 835985.188
173, 460373.406, 516536.406, -, 845640.188
174, 464369.406, 521785.000, -, 858721.688
175, 471138.312, 526879.375, -, 868812.625
176, 478555.406, 536668.000, -, 878304.125
177, 481519.594, 542426.500, -, 890269.188
178, 487986.812, 545279.812, -, 897761.312
179, 492988.312, 553123.500, -, 908662.625
180, 498731.688, 559144.188, -, 925668.500
181, 544934.000, 578749.000, -, 943388.000
182, 523632.594, 582000.500, -, 957016.125
183, 531938.875, 589541.000, -, 968320.500
184, 524567.000, 589878.625, -, 968869.000
185, 530934.812, 596097.688, -, 981350.312
186, 546012.812, 608372.125, -, 1007074.875
187, 553356.125, 616543.625, -, 1024076.312
188, 563398.812, 620424.625, -, 1030884.375
189, 568689.812, 622279.188, -, 1042742.875
190, 568967.625, 632061.500, -, 1032099.500
191, 570262.875, 639443.812, -, 1045301.375
192, 581658.188, 649802.312, -, 1062572.500
193, 587454.125, 653686.812, -, 1071824.375
194, 590986.875, 662900.875, -, 1089926.625
195, 602794.625, 682920.625, -, 1095718.000
196, 608514.688, 673545.812, -, 1098689.250
197, 610598.625, 682371.188, -, 1111607.250
198, 617193.000, 688792.875, -, 1128050.500
199, 625121.500, 699656.312, -, 1187264.375
200, 643454.875, 711905.500, -, 1158021.375
